variable	q_zeros	p_zeros	q_na	p_na	q_inf	p_inf	type	unique
latitude_degrees	0	0	0	0	0	0	numeric	3845019
longitude_degrees	0	0	0	0	0	0	numeric	3930425
altitude_meters	0	0	3403325	48.67	0	0	numeric	43523
altitude_reference	0	0	3406430	48.71	0	0	character	2
geohash	0	0	0	0	0	0	character	3432219
source_id	0	0	0	0	0	0	character	1
track_id	0	0	0	0	0	0	character	5195
origin	0	0	0	0	0	0	character	1
observed	0	0	0	0	0	0	POSIXct/POSIXt	1325970
received	0	0	0	0	0	0	POSIXct/POSIXt	1310708
callsign	0	0	0	0	0	0	character	5195
ground_speed_meters_per_second	536091	7.67	857138	12.26	0	0	numeric	4393475
vertical_speed_meters_per_second	2865561	40.98	3322669	47.52	0	0	numeric	63531
course_degrees	570999	8.17	857138	12.26	0	0	numeric	4651512
velocity_x_meters_per_second	642612	9.19	4859511	69.49	0	0	numeric	34879
velocity_y_meters_per_second	643567	9.2	4858655	69.48	0	0	numeric	36063
velocity_z_meters_per_second	1023233	14.63	4843235	69.26	0	0	numeric	34220
yaw_degrees	24453	0.35	3826751	54.72	0	0	numeric	4797
pitch_degrees	77354	1.11	3823321	54.68	0	0	numeric	2402
roll_degrees	118025	1.69	3821878	54.65	0	0	numeric	3721
pressure_hectopascals	0	0	6926582	99.05	0	0	numeric	10
hdop	0	0	6983800	99.87	0	0	numeric	2
date	0	0	0	0	0	0	Date	265
time	104	0	0	0	0	0	times	86244
year	0	0	0	0	0	0	ordered-factor	1
month	0	0	0	0	0	0	ordered-factor	10
day	0	0	0	0	0	0	ordered-factor	31
hour	0	0	0	0	0	0	ordered-factor	24
minute	0	0	0	0	0	0	ordered-factor	60
second	0	0	0	0	0	0	ordered-factor	60
compare_me	0	0	0	0	0	0	numeric	1
